model number 0 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8137454390525818, 0.6847826242446899, 0.6949624419212341, 0.6847826242446899]
model number 27 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7163463830947876, 0.8260869383811951, 0.828220546245575, 0.8260869979858398]
model number 28 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7123021483421326, 0.782608687877655, 0.7877373695373535, 0.782608687877655]
model number 29 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7251065969467163, 0.77173912525177, 0.7760975360870361, 0.77173912525177]
model number 30 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7403466701507568, 0.782608687877655, 0.7891189455986023, 0.782608687877655]
model number 31 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7168819308280945, 0.782608687877655, 0.7867835164070129, 0.782608687877655]
model number 32 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8161832690238953, 0.70652174949646, 0.7026330828666687, 0.70652174949646]
model number 33 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7208759188652039, 0.804347813129425, 0.806576132774353, 0.804347813129425]
model number 34 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.899039089679718, 0.6195651888847351, 0.6389223337173462, 0.6195651888847351]
model number 35 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7480799555778503, 0.79347825050354, 0.7961549758911133, 0.79347825050354]
model number 36 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7021303772926331, 0.804347813129425, 0.8085517883300781, 0.804347813129425]
model number 37 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8162388801574707, 0.717391312122345, 0.7247413396835327, 0.717391312122345]
model number 38 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8490279912948608, 0.6195651888847351, 0.5775193572044373, 0.6195651888847351]
model number 39 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8571102023124695, 0.6413043737411499, 0.6568766236305237, 0.6413043737411499]
model number 40 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.6938510537147522, 0.8152173757553101, 0.8188081979751587, 0.8152173757553101]
model number 41 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7423964738845825, 0.72826087474823, 0.7416886687278748, 0.72826087474823]
model number 42 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7310655117034912, 0.77173912525177, 0.7772291898727417, 0.77173912525177]
model number 43 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7583114504814148, 0.79347825050354, 0.7991546392440796, 0.79347825050354]
model number 44 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7996916770935059, 0.717391312122345, 0.7306109666824341, 0.717391312122345]
model number 45 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7755950689315796, 0.72826087474823, 0.7339393496513367, 0.72826087474823]
model number 46 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7458432912826538, 0.782608687877655, 0.7864800691604614, 0.782608687877655]
model number 47 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.6885395646095276, 0.79347825050354, 0.7984718084335327, 0.79347825050354]
model number 48 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7290538549423218, 0.782608687877655, 0.7868526577949524, 0.782608687877655]
model number 49 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8019847273826599, 0.717391312122345, 0.7241302728652954, 0.717391312122345]
model number 50 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7715080976486206, 0.782608687877655, 0.7861692309379578, 0.782608687877655]
model number 51 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8331905603408813, 0.70652174949646, 0.7149788737297058, 0.70652174949646]
model number 52 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7008160352706909, 0.77173912525177, 0.7747408151626587, 0.77173912525177]
model number 53 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8052900433540344, 0.72826087474823, 0.7324842214584351, 0.72826087474823]
model number 54 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.6639940142631531, 0.804347813129425, 0.8079593777656555, 0.804347813129425]
model number 55 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8585987091064453, 0.6304348111152649, 0.5921478271484375, 0.6304348111152649]
model number 56 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7098762392997742, 0.804347813129425, 0.8064745664596558, 0.804347813129425]
model number 57 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.758396327495575, 0.717391312122345, 0.7206299901008606, 0.717391312122345]
model number 58 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7351583242416382, 0.8152173757553101, 0.8194526433944702, 0.8152173757553101]
model number 59 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7284156084060669, 0.79347825050354, 0.7980180978775024, 0.79347825050354]
model number 60 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.710483729839325, 0.79347825050354, 0.7950736880302429, 0.79347825050354]
model number 61 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7701861262321472, 0.77173912525177, 0.7765001654624939, 0.77173912525177]
model number 62 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7058591246604919, 0.77173912525177, 0.7774625420570374, 0.77173912525177]
model number 63 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7638459205627441, 0.75, 0.7574823498725891, 0.75]
model number 64 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7447055578231812, 0.75, 0.7546428442001343, 0.75]
model number 65 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7863697409629822, 0.77173912525177, 0.7770851254463196, 0.77173912525177]
model number 66 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.947374165058136, 0.6086956262588501, 0.5638519525527954, 0.6086956262588501]
model number 67 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7826017141342163, 0.739130437374115, 0.7338461875915527, 0.739130437374115]
model number 68 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8420585989952087, 0.6630434989929199, 0.6618647575378418, 0.6630434989929199]
model number 69 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7434353232383728, 0.77173912525177, 0.7754706144332886, 0.77173912525177]
model number 70 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.6826047301292419, 0.8260869383811951, 0.8292804956436157, 0.8260869979858398]
model number 71 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7370250821113586, 0.79347825050354, 0.7993599772453308, 0.79347825050354]
model number 72 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.9082247018814087, 0.695652186870575, 0.6978706121444702, 0.695652186870575]
model number 73 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.761422336101532, 0.782608687877655, 0.7856162786483765, 0.782608687877655]
model number 74 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7444195747375488, 0.77173912525177, 0.7749072313308716, 0.77173912525177]
model number 75 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7287517189979553, 0.782608687877655, 0.7851633429527283, 0.782608687877655]
model number 76 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7492957711219788, 0.77173912525177, 0.7754219174385071, 0.77173912525177]
model number 77 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7593448758125305, 0.6739130616188049, 0.6340440511703491, 0.6739130616188049]
model number 78 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7635549306869507, 0.760869562625885, 0.7687280774116516, 0.760869562625885]
model number 79 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8207760453224182, 0.6847826242446899, 0.669760525226593, 0.6847826242446899]
model number 80 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7248511910438538, 0.79347825050354, 0.7976441383361816, 0.79347825050354]
model number 81 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7115733027458191, 0.77173912525177, 0.7788780927658081, 0.77173912525177]
model number 82 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7625995874404907, 0.77173912525177, 0.7757624387741089, 0.77173912525177]
model number 83 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.6806265115737915, 0.8152173757553101, 0.8177627325057983, 0.8152173757553101]
model number 84 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8195725083351135, 0.6521739363670349, 0.6359900236129761, 0.6521739363670349]
model number 85 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7983840703964233, 0.72826087474823, 0.7315295934677124, 0.72826087474823]
model number 86 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.754777729511261, 0.739130437374115, 0.7316034436225891, 0.739130437374115]
model number 87 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7331362962722778, 0.782608687877655, 0.7863923907279968, 0.782608687877655]
model number 88 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7727662920951843, 0.6739130616188049, 0.6247619390487671, 0.6739130616188049]
model number 89 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8197563886642456, 0.6521739363670349, 0.6218538880348206, 0.6521739363670349]
model number 90 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7618935704231262, 0.72826087474823, 0.735877275466919, 0.72826087474823]
model number 91 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7811362147331238, 0.760869562625885, 0.7633333206176758, 0.760869562625885]
model number 92 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7745960354804993, 0.760869562625885, 0.7671045064926147, 0.760869562625885]
model number 93 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8238385915756226, 0.70652174949646, 0.7178338170051575, 0.70652174949646]
model number 94 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7998394966125488, 0.70652174949646, 0.7054393887519836, 0.70652174949646]
model number 95 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7019395232200623, 0.79347825050354, 0.7968150973320007, 0.79347825050354]
model number 96 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8024907112121582, 0.75, 0.7523163557052612, 0.75]
model number 97 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7910279035568237, 0.717391312122345, 0.7212511301040649, 0.717391312122345]
model number 98 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7853482365608215, 0.739130437374115, 0.7406904101371765, 0.739130437374115]
model number 99 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7770864963531494, 0.77173912525177, 0.77387535572052, 0.77173912525177]
the best model is the number 27
